D:\ML\IMG\center_2019_12_29_18_02_20_902.jpg,D:\ML\IMG\left_2019_12_29_18_02_20_902.jpg,D:\ML\IMG\right_2019_12_29_18_02_20_902.jpg,0,0,0,1.388757E-05
D:\ML\IMG\center_2019_12_29_18_02_20_967.jpg,D:\ML\IMG\left_2019_12_29_18_02_20_967.jpg,D:\ML\IMG\right_2019_12_29_18_02_20_967.jpg,0,0,0,4.989185E-06
D:\ML\IMG\center_2019_12_29_18_02_21_081.jpg,D:\ML\IMG\left_2019_12_29_18_02_21_081.jpg,D:\ML\IMG\right_2019_12_29_18_02_21_081.jpg,0,0,0,8.653671E-06
D:\ML\IMG\center_2019_12_29_18_02_21_142.jpg,D:\ML\IMG\left_2019_12_29_18_02_21_142.jpg,D:\ML\IMG\right_2019_12_29_18_02_21_142.jpg,0,0,0,2.971447E-06
D:\ML\IMG\center_2019_12_29_18_02_21_249.jpg,D:\ML\IMG\left_2019_12_29_18_02_21_249.jpg,D:\ML\IMG\right_2019_12_29_18_02_21_249.jpg,0,0,0,2.916644E-06
D:\ML\IMG\center_2019_12_29_18_02_21_337.jpg,D:\ML\IMG\left_2019_12_29_18_02_21_337.jpg,D:\ML\IMG\right_2019_12_29_18_02_21_337.jpg,0,0,0,3.461959E-06
D:\ML\IMG\center_2019_12_29_18_02_21_431.jpg,D:\ML\IMG\left_2019_12_29_18_02_21_431.jpg,D:\ML\IMG\right_2019_12_29_18_02_21_431.jpg,0,0,0,2.205445E-05
D:\ML\IMG\center_2019_12_29_18_02_21_517.jpg,D:\ML\IMG\left_2019_12_29_18_02_21_517.jpg,D:\ML\IMG\right_2019_12_29_18_02_21_517.jpg,0,0,0,7.522819E-06
D:\ML\IMG\center_2019_12_29_18_02_21_605.jpg,D:\ML\IMG\left_2019_12_29_18_02_21_605.jpg,D:\ML\IMG\right_2019_12_29_18_02_21_605.jpg,0,0,0,6.225388E-06
D:\ML\IMG\center_2019_12_29_18_02_21_691.jpg,D:\ML\IMG\left_2019_12_29_18_02_21_691.jpg,D:\ML\IMG\right_2019_12_29_18_02_21_691.jpg,0,0,0,1.586857E-06
D:\ML\IMG\center_2019_12_29_18_02_21_786.jpg,D:\ML\IMG\left_2019_12_29_18_02_21_786.jpg,D:\ML\IMG\right_2019_12_29_18_02_21_786.jpg,0,0,0,2.354694E-05
D:\ML\IMG\center_2019_12_29_18_02_21_867.jpg,D:\ML\IMG\left_2019_12_29_18_02_21_867.jpg,D:\ML\IMG\right_2019_12_29_18_02_21_867.jpg,0,0,0,1.694539E-06
D:\ML\IMG\center_2019_12_29_18_02_21_956.jpg,D:\ML\IMG\left_2019_12_29_18_02_21_956.jpg,D:\ML\IMG\right_2019_12_29_18_02_21_956.jpg,0,0,0,7.391167E-08
D:\ML\IMG\center_2019_12_29_18_02_22_050.jpg,D:\ML\IMG\left_2019_12_29_18_02_22_050.jpg,D:\ML\IMG\right_2019_12_29_18_02_22_050.jpg,0,0,0,5.264746E-06
D:\ML\IMG\center_2019_12_29_18_02_22_125.jpg,D:\ML\IMG\left_2019_12_29_18_02_22_125.jpg,D:\ML\IMG\right_2019_12_29_18_02_22_125.jpg,0,0.2246775,0,0.1985808
D:\ML\IMG\center_2019_12_29_18_02_22_215.jpg,D:\ML\IMG\left_2019_12_29_18_02_22_215.jpg,D:\ML\IMG\right_2019_12_29_18_02_22_215.jpg,0,0.5067714,0,0.7638884
D:\ML\IMG\center_2019_12_29_18_02_22_337.jpg,D:\ML\IMG\left_2019_12_29_18_02_22_337.jpg,D:\ML\IMG\right_2019_12_29_18_02_22_337.jpg,0,0.7917969,0,1.533751
D:\ML\IMG\center_2019_12_29_18_02_22_424.jpg,D:\ML\IMG\left_2019_12_29_18_02_22_424.jpg,D:\ML\IMG\right_2019_12_29_18_02_22_424.jpg,0,1,0,2.706568
D:\ML\IMG\center_2019_12_29_18_02_22_476.jpg,D:\ML\IMG\left_2019_12_29_18_02_22_476.jpg,D:\ML\IMG\right_2019_12_29_18_02_22_476.jpg,0,1,0,3.642631
D:\ML\IMG\center_2019_12_29_18_02_22_561.jpg,D:\ML\IMG\left_2019_12_29_18_02_22_561.jpg,D:\ML\IMG\right_2019_12_29_18_02_22_561.jpg,0,1,0,4.580478
D:\ML\IMG\center_2019_12_29_18_02_22_665.jpg,D:\ML\IMG\left_2019_12_29_18_02_22_665.jpg,D:\ML\IMG\right_2019_12_29_18_02_22_665.jpg,0,1,0,5.740525
D:\ML\IMG\center_2019_12_29_18_02_22_754.jpg,D:\ML\IMG\left_2019_12_29_18_02_22_754.jpg,D:\ML\IMG\right_2019_12_29_18_02_22_754.jpg,0,1,0,6.660527
D:\ML\IMG\center_2019_12_29_18_02_22_839.jpg,D:\ML\IMG\left_2019_12_29_18_02_22_839.jpg,D:\ML\IMG\right_2019_12_29_18_02_22_839.jpg,0,1,0,7.800484
